product_name,description,price,quantity,categories
Yoga Mat,"Non-slip, eco-friendly, 6mm",29.99,50,Fitness Equipment
Dumbbell Set,"Adjustable, 5-25 lbs",99.99,20,Weight Training
Resistance Bands,"Set of 5, varying resistance",24.99,100,Strength Training
Kettlebell,"Cast iron, 20 lbs",39.99,30,Weight Training
Jump Rope,"Adjustable length, ergonomic grips",14.99,70,Cardio
Stability Ball,"65cm, anti-burst",34.99,40,Core Training
Foam Roller,"High-density, 36-inch",19.99,60,Fitness Accessories
Treadmill,"Foldable, 2 HP motor",599.99,10,Cardiovascular Equipment
Bicycle,"Mountain bike, 21-speed",399.99,15,Cycling
Fitness Tracker,"Heart rate monitor, step counter",89.99,50,Smart Wearables
